Title,Genres,Rank,Popularity,Score,Episodes,Episode length,Release Date
B.O.Y.,,10909,16235,5.45,1,4 min.,
Princess Minerva,"Adventure,Comedy,Fantasy",10883,10109,5.46,1,44 min.,
Piroppo,,10882,12746,5.46,23,1 min. per ep.,Fall 2001
Dream C Club Pure Songs Clips,,10902,12545,5.46,6,2 min. per ep.,
Sam to Chip no wa Hachamecha Dai Race,,10884,15418,5.46,1,10 min.,
Niigata no Edamame-ou Shiba,,10878,15503,5.46,3,30 sec. per ep.,
Ozmafia!!,"Fantasy,Romance",10881,4229,5.46,12,5 min. per ep.,Summer 2016
Interior,"Adventure,Comedy",10905,15306,5.46,1,4 min.,
Marine Bloomin',,10876,12784,5.46,1,3 min.,
Mameshiba the DVD Green Pea-shiba no Kutsujoku,,10875,13754,5.46,4,26 sec. per ep.,
Show By Rock!! x Joysound,,10885,9840,5.46,4,1 min. per ep.,
Yumekuri,,10873,6362,5.47,1,6 min.,
Maku,,10874,13970,5.46,1,5 min.,
Violence Jack: Hell's Wind-hen,"Action,Drama,Horror",10870,6150,5.47,1,54 min.,
Virus: Virus Buster Serge,"Action,Adventure,Sci-Fi",10871,7893,5.47,12,24 min. per ep.,Fall 1997
Mofu☆Mofu,,10877,13206,5.46,11,3 min. per ep.,
Yuki Matsuri,,10872,16337,5.47,1,2 min.,
Senga Tsubo,,10867,12810,5.47,1,17 min.,
Bad! Bad! Bad!,,10910,14352,5.45,1,3 min.,
Pair,,10865,11262,5.47,1,3 min.,
Suna Asobi,,10869,15692,5.47,1,5 min.,
Robocar Poli,,10866,14005,5.47,26,11 min. per ep.,Winter 2011
Mahou no Pen,,10861,14015,5.47,1,10 min.,
Maze,,10862,14868,5.47,1,2 min.,
Nanatsu no Bitoku Specials,"Fantasy,Ecchi",10864,5779,5.47,2,5 min. per ep.,
Katsudou Shashin,,10858,6543,5.47,1,3 sec.,
Kairisei Million Arthur,,10857,12314,5.47,2,1 min. per ep.,
Spacy,,10868,12406,5.47,1,9 min.,
Jikuu Ihoujin Kyoko: Chocola ni Omakase!,"Comedy,Fantasy",10854,9088,5.47,1,11 min.,
Ishikeri,,10853,12219,5.47,1,5 min.,
Otona no Bouguya-san (Rimen),"Comedy,Fantasy,Ecchi",10880,6141,5.46,3,5 min. per ep.,
Iro wo Kuu Akuma,,10852,12434,5.47,1,1 min.,
I'm Here with You,,10851,13063,5.47,1,4 min.,
Growlanser IV: Wayfarer of the Time,,10849,10293,5.47,1,30 min.,
"Mini Toji: Kanami-Mihono no ""Toji Miko Taidou-hen"" 205-byou de Shoukai Tokuban!",,10863,10245,5.47,1,3 min.,
Ali Baba to 40-hiki no Touzoku,"Action,Fantasy",10843,10513,5.47,1,55 min.,
Kaeru no Pickles: Kimochi no Iro,,10856,12007,5.47,12,3 min. per ep.,Fall 2020
Kanimanji Engi,,10839,13876,5.48,1,11 min.,
Ninja Bugei-chou,,10879,10612,5.46,1,2 hr. 15 min.,
Hachimitsu Suicide Machine,,10850,13261,5.47,1,10 min.,
Landlock,"Adventure,Fantasy,Sci-Fi",10860,9571,5.47,2,45 min. per ep.,
Kozaru no Buranko,,10841,15281,5.48,1,11 min.,
Hyaku-nengo no Aru Hi,"Sci-Fi,Supernatural",10835,14416,5.48,1,11 min.,
Joseito,"Drama,Slice of Life",10855,10333,5.47,1,24 min.,
Kipling Jr.,,10859,13044,5.47,1,14 min.,
Henkei Sakuhin Dai 2-ban,,10834,15038,5.48,1,23 min.,
Glass no Kamen Desu ga,,10832,10738,5.48,3,3 min. per ep.,Spring 2013
Ice Movie,"Action,Girls Love,Sci-Fi",10837,10700,5.48,1,1 hr. 43 min.,
Chains & Rings,,10829,11175,5.48,1,3 min.,
Double-J,,10830,5235,5.48,11,4 min. per ep.,Summer 2011
Lord of Vermilion IV,,10842,10675,5.48,16,30 sec. per ep.,
I Love Picnic,,10836,13601,5.48,1,4 min.,
e-ma Nodo Ame CMs,,10831,14421,5.48,3,15 sec. per ep.,
Baraou no Souretsu,"Action,Drama,Supernatural",10827,2747,5.48,24,23 min. per ep.,Winter 2022
Ari to Hato (1959),,10826,14330,5.48,1,8 min.,
Agukaru: Play with Ibaraki-hen,"Slice of Life,Supernatural",10822,13339,5.48,20,7 min. per ep.,
And2! And2!,,10824,13542,5.48,1,34 min.,
Kaze no Invitation,,10840,13158,5.48,1,2 min.,
Antique Heart,,10825,10641,5.48,1,29 min.,
"Sou: Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?-hen",,10818,8392,5.48,1,15 sec.,
Uneasiness and Triangle,,10819,15153,5.48,1,3 min.,
Saiyuuki: Son Gokuu Monogatari,,10817,11139,5.48,1,8 min.,
Bloodivores,"Action,Supernatural",10828,1753,5.48,12,24 min. per ep.,Fall 2016
RS Keikaku: Rebirth Storage,,10816,6789,5.48,1,23 min.,
Ippatsu Hicchuu!! Devander,"Action,Sci-Fi",10838,12426,5.48,1,27 min.,
Ai to Ken no Camelot: Mangaka Marina Time Slip Jiken,"Adventure,Comedy,Fantasy",10823,12296,5.48,1,48 min.,
Good Morning Althea,"Action,Sci-Fi",10833,10091,5.48,1,52 min.,
Meisou-Ou Border,,10811,12307,5.48,1,43 min.,
Noel no Fushigi na Bouken,"Adventure,Comedy,Fantasy",10814,14202,5.48,1,1 hr. 12 min.,
Makyou Gaiden Le Deus,"Action,Adventure,Sci-Fi",10809,9970,5.48,1,48 min.,
Yasoukyoku,,10820,15160,5.48,1,3 min.,
Vanquished Queens Specials,,10808,6797,5.49,4,6 min. per ep.,
Shadowverse (TV) Recaps,,10806,12375,5.49,3,24 min. per ep.,
One Room Special,,10815,4359,5.48,1,4 min.,
Qiang Niang,"Action,Comedy,Sci-Fi,Slice of Life",10805,11968,5.49,12,14 min. per ep.,
Otona no Bouguya-san II,"Comedy,Fantasy,Ecchi",10803,5307,5.49,12,6 min. per ep.,
Peter Grill to Kenja no Jikan,"Comedy,Fantasy,Ecchi",10804,1203,5.49,12,12 min. per ep.,Summer 2020
Nodoka Mori no Doubutsu Daisakusen,,10801,13348,5.49,1,1 hr. 8 min.,
Monster Farm 5: Circus Caravan OVA - Kessei!! Orcoro Circus,"Action,Fantasy",10800,12133,5.49,1,8 min.,
Moekan The Animation,"Comedy,Romance",10813,8867,5.48,3,31 min. per ep.,
Meshimase Lodoss-tou Senki: Sorette Oishii no?,,10812,9363,5.48,13,2 min. per ep.,Spring 2014
Denshin Denrei Denwa,,10793,14805,5.49,1,10 min.,
Fune wo Amu Yokoku,,10794,11045,5.49,10,41 sec. per ep.,
Yumemi Douji,,10821,13941,5.48,1,15 min.,
Brilliant Better,,10790,10975,5.49,1,2 min.,
Toho Cinemas x Pokemon Go,,10807,9128,5.49,2,21 sec. per ep.,
Oshare Kozou wa Hanamaru,,10802,11543,5.49,1,30 min.,
Asatte Dance,"Comedy,Drama,Romance,Ecchi",10788,10438,5.49,2,45 min. per ep.,
Ariel Deluxe,"Action,Comedy,Sci-Fi",10786,10570,5.49,2,42 min. per ep.,
Byeolnala Samchongsa,"Adventure,Sci-Fi",10791,13942,5.49,1,1 hr. 6 min.,
Aitata Bocchi,"Avant Garde,Drama",10785,13885,5.49,1,11 min.,
Kyoufu no Bio Ningen Saishuu Kyoushi,"Action,Adventure,Comedy,Supernatural",10782,8204,5.50,1,56 min.,
Cluster A,,10792,15109,5.49,1,3 min.,
Mameshiba Gakuen,,10810,12924,5.48,8,30 sec. per ep.,
KY-kei JC Kuuki-chan,,10781,12220,5.50,6,3 min. per ep.,
Garo: Honoo no Kokuin - Yurugaro,"Comedy,Fantasy",10795,10166,5.49,23,1 min. per ep.,
Kubbe no Ongakukai,,10779,15403,5.50,2,1 min. per ep.,
Koroshiya-san: The Hired Gun,"Action,Comedy,Suspense",10778,6401,5.50,10,3 min. per ep.,Fall 2013
Ievan Polkka,,10777,11331,5.50,1,2 min.,
Happy Kappy,"Comedy,Fantasy",10774,11056,5.50,25,5 min. per ep.,Spring 2011
Hietsuki Bushi,"Fantasy,Sci-Fi",10775,15043,5.50,1,3 min.,
Gensei Shugoshin P-hyoro Ikka OVA,"Adventure,Fantasy",10772,12733,5.50,3,30 min. per ep.,
Grendizer Giga,,10773,12078,5.50,1,1 min.,
Love Will Find the Way Back Home,,10784,15436,5.50,1,3 min.,
Futsal Boys!!!!!,,10770,3712,5.50,12,24 min. per ep.,Winter 2022
Hit wo Nerae! Specials,"Comedy,Ecchi",10776,10216,5.50,4,14 min. per ep.,
Digital Juice,,10768,6770,5.50,6,3 min. per ep.,
Gakuen Tokusou Hikaruon,,10771,9079,5.50,1,29 min.,
Cinderella Express,"Comedy,Romance,Ecchi",10899,11186,5.46,1,47 min.,
B Who I Want 2 B,,10766,10108,5.50,1,3 min.,
Asa ga Kuru mae ni: Sasurai Version,,10787,13652,5.49,1,4 min.,
Bermuda Triangle: Colorful Pastrale,,10789,6169,5.49,12,25 min. per ep.,Winter 2019
Are wa Dare?,,10764,14666,5.50,1,21 min.,
AWOL,"Action,Sci-Fi",10765,11101,5.50,12,30 min. per ep.,Winter 1998
Wanna Be a Tuna,,10761,15346,5.50,1,2 min.,
Usakame Special,"Comedy,Sports",10760,9386,5.50,1,3 min.,
Time Slip Ichimannen: Prime Rose,"Action,Adventure,Drama,Romance,Sci-Fi",10758,10679,5.50,1,1 hr. 22 min.,
Bakugan: Battle Planet,"Action,Fantasy",10767,6828,5.50,50,24 min. per ep.,Spring 2019
Fushigi na Taiko,,10769,14437,5.50,1,18 min.,
Watashi no Naka no Gensou-teki Sekaikan Oyobi Sono Kengen wo Souki Saseta Aru Genjitsu de no Dekigoto ni Kansuru Ichi Kousatsu,,10762,11478,5.50,1,2 min.,
Sin: Nanatsu no Taizai - Masani Akuma no Shogyou...,"Fantasy,Ecchi",10755,5638,5.50,1,23 min.,
Stay the Same,,10756,14389,5.50,1,5 min.,
Ozmafia!! Special,,10752,10057,5.50,1,4 min.,
Ubasuteyama,,10759,11370,5.50,1,18 min.,
Kuro to Kin no Akanai Kagi.,,10780,5556,5.50,2,29 min. per ep.,
Lance N' Masques,,10783,2701,5.50,12,24 min. per ep.,Fall 2015
Transformers: Robot Masters,,10743,11292,5.51,2,6 min. per ep.,
Tokyo Fantasia,,10741,14852,5.51,1,8 min.,
Shounen Sunday CM: Detective Conan,,10740,11359,5.51,1,28 sec.,
6♥Princess,,10763,7885,5.50,1,3 min.,
Shokichi Monogatari,,10739,15028,5.51,1,5 min.,
Tenkyuu no Arculs,,10757,15385,5.50,1,1 min.,
PostPet Momobin,,10737,13814,5.51,24,3 min. per ep.,Summer 2004
Oedo wa Nemurenai!,"Drama,Fantasy",10734,11678,5.51,1,30 min.,
Tonpei to Sarukichi,,10742,13989,5.51,1,8 min.,
Nanako Kaitai Shinsho,"Comedy,Sci-Fi",10733,5464,5.51,6,27 min. per ep.,
Mameshiba Bangai-hen,,10731,13710,5.51,5,30 sec. per ep.,
Senjou no Valkyria Special,,10738,10734,5.51,1,3 min.,
Shinkai no Kantai: Submarine 707,"Action,Adventure,Sci-Fi",10754,12156,5.50,1,46 min.,
Lupin Shanshei,,10729,10189,5.51,10,3 min. per ep.,
Oretacha Youkai Ningen,,10751,10176,5.50,25,2 min. per ep.,Fall 2017
Petit Eva: Evangelion@School,,10736,3828,5.51,24,3 min. per ep.,
Love Like Aliens,"Action,Sci-Fi",10728,10899,5.51,1,6 min.,
Minarai Chameleon,,10732,15338,5.51,1,2 min.,
Hoka Hoka Oden no Uta,,10724,11860,5.51,1,1 min.,
Oyako Club,"Comedy,Slice of Life",10735,11615,5.51,1818,5 min. per ep.,Fall 1994
Hatsukoi Monster,"Comedy,Romance",10723,1710,5.51,12,24 min. per ep.,Summer 2016
Porong Porong Pororo 4,,10753,14259,5.50,26,11 min. per ep.,Winter 2012
Kashikokimono,,10726,13845,5.51,1,9 min.,
Dokushin Apartment Dokudami-sou,"Comedy,Slice of Life,Ecchi",10719,10325,5.49,3,55 min. per ep.,
Docchi ni Suru?,,10718,12138,5.51,1,10 min.,
"Eiyuuou, Bu wo Kiwameru Tame Tenseisu: Soshite, Sekai Saikyou no Minarai Kishi♀","Action,Fantasy",10720,12273,5.51,2,2 min. per ep.,
Choujin Locke: Mirror Ring,"Action,Sci-Fi",10716,11773,5.51,1,1 hr.,
Chiisana Itsutsu no Ohanashi,,10715,15362,5.51,1,19 min.,
Celebration and Chorale,,10714,14034,5.51,1,5 min.,
Calihara no Uta,,10712,14418,5.51,1,4 min.,
Kenka no Ato wa,,10727,15132,5.51,1,2 min.,
Inferious Wakusei Senshi Gaiden Condition Green,"Action,Sci-Fi",10725,12819,5.51,6,25 min. per ep.,
Bulg-eunmae,,10711,11205,5.51,1,1 hr. 24 min.,
Cyborg 009: The Reopening,"Action,Adventure,Sci-Fi",10717,10035,5.51,1,4 min.,
Basilisk: Ouka Ninpouchou,"Action,Drama",10709,3267,5.51,24,23 min. per ep.,Winter 2018
Be-Boy Kidnapp'n Idol,"Boys Love,Drama",10710,5823,5.51,1,26 min.,
Made in Japan,,10730,14021,5.51,1,9 min.,
47 Todoufuken,,10707,13597,5.51,26,1 min. per ep.,Spring 2011
Kyoukasho ni Nai!,"Comedy,Romance,Ecchi",10705,7652,5.52,2,39 min. per ep.,
Kyoufu Densetsu Kaiki! Frankenstein,"Drama,Horror,Sci-Fi",10704,10366,5.52,1,1 hr. 51 min.,
Babyshiba,,10708,13106,5.51,7,30 sec. per ep.,
Cap Kakumei Bottleman,,10713,12832,5.51,25,5 min. per ep.,
Houkago no Tinker Bell,"Comedy,Drama,Mystery,Romance,Slice of Life",10701,12096,5.52,1,46 min.,
Elf 17,"Adventure,Comedy",10721,9748,5.51,1,29 min.,
Jiaoao de Jiangjun,,10702,13929,5.52,1,24 min.,
Cosmos Pink Shock,"Comedy,Sci-Fi",10695,9230,5.52,1,35 min.,
Gakuen Handsome Special,"Boys Love,Comedy",10696,9317,5.52,1,3 min.,
Ashinaga Ojisan,"Comedy,Drama",10691,12094,5.52,1,1 hr.,
Arei no Kagami: Way to the Virgin Space,"Action,Adventure,Sci-Fi",10690,10499,5.52,1,26 min.,
Gekidol: Actidol Project,"Drama,Sci-Fi",10697,4915,5.52,12,23 min. per ep.,Winter 2021
Yuu no Mahou,,10688,15701,5.52,1,3 min.,
Kingdom of Chaos: Born to Kill,,10703,11459,5.52,4,29 min. per ep.,
Yajikita Gakuen Douchuuki,,10687,11151,5.52,2,40 min. per ep.,
Tu Xia Chuanqi,"Action,Adventure,Comedy",10686,14664,5.52,1,1 hr. 28 min.,
Black'n White Jammin' Cats,,10692,12395,5.52,1,2 min.,
Sonoda,,10683,13649,5.52,1,1 min.,
Chen-Kuro Gakuen,,10693,12271,5.52,3,3 min. per ep.,
SF Saiyuuki Starzinger (Movie),"Adventure,Sci-Fi",10682,12828,5.52,1,22 min.,
Refrain,,10680,15126,5.52,1,4 min.,
Ookami Kodomo no Ame to Yuki x House Shokuhin Stew CM,,10679,7848,5.52,1,15 sec.,
Taneyamagahara no Yoru,"Fantasy,Slice of Life",10685,7300,5.52,1,27 min.,
Gravity,,10722,13156,5.51,1,4 min.,
Minna Atsumare! Falcom Gakuen SC Special,,10676,12447,5.52,1,2 min.,
Ai Mai! Moe Can Change!,"Comedy,Sci-Fi",10689,6398,5.52,1,24 min.,
Yogen-sha Ikusei Gakuen: Fortune Tellers Academy,,10675,14427,5.53,1,2 min.,
Trust,,10673,10546,5.53,1,2 min.,
Namakura Gatana,,10677,6147,5.52,1,4 min.,
Virtual-san wa Miteiru Specials,,10674,11946,5.53,2,18 min. per ep.,
Nihon Mukashibanashi: Saru Kani,,10678,14318,5.52,1,19 min.,
Suiren no Hito,,10670,14123,5.53,1,16 min.,
Sakana no Iu Koto wo Kiku,"Avant Garde,Drama",10681,14222,5.52,1,5 min.,
Seihou Tenshi Angel Links: Meifon no Special Kaisetsu Corner,"Comedy,Sci-Fi",10669,11664,5.53,1,6 min.,
Toukiden Kiwami,"Action,Fantasy",10672,11447,5.53,1,5 min.,
Peeping Life: The Perfect Evolution,"Comedy,Slice of Life",10667,12671,5.53,10,5 min. per ep.,
Ravex in Tezuka World,,10668,10963,5.53,1,18 min.,
Nebula feat. Hatsune Miku,,10665,9856,5.53,1,4 min.,
Legend of Lemnear: Kyokuguro no Tsubasa Valkisas,"Action,Adventure,Fantasy",10706,6405,5.52,1,42 min.,
Tokiwa Kitareri!!,,10671,13045,5.53,1,30 sec.,
Kamiusagi Rope x Boruto: Naruto Next Generations,,10662,6344,5.53,1,1 min.,
Jigoku de Naze Warui,,10661,16024,5.53,1,3 min.,
Koguma no Koro-chan,,10663,12798,5.53,1,10 min.,
Exper Zenon,"Action,Sci-Fi",10657,10401,5.53,1,1 hr.,
Tabidachi: Ami Shuushou,"Drama,Romance",10684,11100,5.52,1,39 min.,
Peach Boy Riverside Mini Anime,,10666,9298,5.53,12,1 min. per ep.,
Destiny Child,"Action,Supernatural",10654,11194,5.53,1,26 min.,
Cleopatra,,10694,7249,5.52,1,1 hr. 52 min.,
Chikara Bashi,,10652,14689,5.53,1,10 min.,
Bounty Dog: Getsumen no Ibu,"Action,Sci-Fi",10651,8318,5.53,2,29 min. per ep.,
Chiruran: Nibun no Ichi Special,"Action,Comedy",10653,11716,5.53,1,2 min.,
Ichi Nichi Shite Narazu,,10660,14193,5.53,1,6 min.,
EDEN,,10656,9589,5.53,1,4 min.,
Hagane Orchestra,"Adventure,Comedy",10659,7428,5.53,12,4 min. per ep.,Fall 2016
Chuumon no Ooi Ryouriten,"Fantasy,Horror,Supernatural",10641,11424,5.54,1,18 min.,
Chanda Gou,,10640,15212,5.54,1,7 min.,
Beast Saga,"Action,Sci-Fi",10638,10531,5.54,38,11 min. per ep.,Winter 2013
Aya to Majo,,10589,5358,5.55,1,1 hr. 22 min.,
Dareka no Santa Claus,,10642,15353,5.54,1,4 min.,
Aozora Under Girls!,,10637,13416,5.54,2,2 min. per ep.,
Fujiko Fujio A no Mumako,"Horror,Supernatural",10644,13480,5.54,1,31 min.,
Doudou,,10655,13359,5.53,2,7 min. per ep.,
YanYan Machiko,"Comedy,Slice of Life",10635,12800,5.54,11,2 min. per ep.,
"Watashitachi, Luck Logic-bu! 2",,10633,9915,5.54,12,1 min. per ep.,
Wakusei Robo Danguard Ace tai Konchuu Robot Gundan,,10632,12654,5.54,1,25 min.,
W'z,,10631,3872,5.54,13,23 min. per ep.,Winter 2019
Life no Color,,10664,9237,5.53,1,4 min.,
Through the Windows,,10629,12812,5.54,1,3 min.,
Wonderland to Hitsuji no Uta,,10634,13569,5.54,1,4 min.,
Super Speed,,10628,11248,5.54,1,4 min.,
Shougakusei no Yuukai Boushi: Yumi-chan Abunai yo!,,10626,15050,5.54,1,14 min.,
Ankoku Shindenshou Takegami,"Action,Drama,Sci-Fi,Supernatural",10636,9638,5.54,3,43 min. per ep.,
Runway de Waratte Mini Anime,,10624,9567,5.54,42,45 sec. per ep.,
Violence Jack: Jigoku Gai-hen,"Action,Drama,Horror",10630,5606,5.54,1,58 min.,
Relic Armor Legaciam,"Action,Sci-Fi",10622,10059,5.54,1,49 min.,
Rinshi!! Ekoda-chan,"Comedy,Slice of Life",10623,5506,5.54,11,5 min. per ep.,Winter 2019
Q Transformers: Kaette Kita Convoy no Nazo,,10621,11454,5.54,13,5 min. per ep.,Winter 2015
Nanocore SP Lianxi Pian 2015 Xinnian Tebie Ban,,10618,15261,5.54,1,5 min.,
Cell no Koi,,10639,15716,5.54,1,4 min.,
Nayuta,"Action,Sci-Fi",10619,10286,5.54,1,1 hr. 19 min.,
Sono Mukou no Mukougawa,,10627,13571,5.54,1,1 min.,
God Eater Reso Nantoka Gekijou: Episode EX,"Fantasy,Sci-Fi",10658,9761,5.53,2,3 min. per ep.,
Ojiichan ga Kaizoku Datta Koro,,10620,14819,5.54,1,3 min.,
Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki Desu ka?,"Adventure,Comedy,Fantasy",10615,809,5.55,12,23 min. per ep.,Summer 2019
Strange+ Special,"Comedy,Slice of Life",10613,9415,5.55,1,3 min.,
Readyyy!,,10612,13674,5.55,1,1 min.,
Platonic Chain: Web,"Sci-Fi,Slice of Life",10609,12352,5.55,1,15 min.,
Pareo wa Emerald,,10608,15086,5.55,1,1 min.,
Onara Gorou,,10607,4914,5.55,13,3 min. per ep.,Summer 2016
Mother: Saigo no Shoujo Eve,"Adventure,Drama,Sci-Fi",10617,10816,5.54,1,1 hr. 15 min.,
Days of Delight,,10643,16354,5.54,1,1 min.,
Surprise 4 U.,,10614,14685,5.55,2,2 min. per ep.,
PoPo Loouise,,10611,15372,5.55,1,4 min.,
Mameshiba x Gaist Crusher Collab CM,"Comedy,Fantasy",10603,13837,5.55,1,30 sec.,
Neeko ga Vtuber Shite Mita,,10606,11367,5.55,4,3 min. per ep.,
Plus 50000-nen,,10610,15406,5.55,1,9 min.,
Crystal Sea Ver. 69 (Kay Nakayama Remix),,10578,16903,5.56,1,1 min.,
Sango no Umi to Ouji,,10625,13269,5.54,1,26 min.,
Macross Fufonfia,,10602,8656,5.55,20,1 min. per ep.,
Beatless Intermission,"Action,Drama,Romance,Sci-Fi",10575,5292,5.56,4,24 min. per ep.,
Anisava,"Comedy,Romance,Slice of Life",10574,12528,5.56,13,5 min. per ep.,Summer 2013
Xiao Kedou Zhao Mama,,10572,13435,5.56,1,15 min.,
Moegaku★5,,10616,11380,5.54,40,7 min. per ep.,Winter 2008
Tokyo Girls Collection 2016 A/W x Osomatsu-san Special Movie,,10569,12582,5.56,1,2 min.,
Mayonaka wa Junketsu,,10604,14065,5.55,1,4 min.,
Business Fish,"Comedy,Slice of Life",10577,8353,5.56,6,24 min. per ep.,Summer 2019
The Gakuen Choujo-tai,,10568,12090,5.56,1,45 min.,
Nana to Kaoru,"Comedy,Romance,Ecchi",10605,3922,5.55,1,24 min.,
School Days: Magical Heart Kokoro-chan,"Comedy,Ecchi",10565,2901,5.56,1,25 min.,
Usagi-chan de Cue!!,"Action,Comedy,Romance,Ecchi",10571,6692,5.56,3,26 min. per ep.,
"Blue Hawaii feat. Crush, Penomeco",,10576,15487,5.56,1,4 min.,
AIKa Zero Picture Drama,,10573,7372,5.56,3,5 min. per ep.,
PS3® no Tsukai Kata: feat.Peeping Life,"Comedy,Slice of Life",10562,14225,5.56,6,4 min. per ep.,
Planzet,"Action,Sci-Fi",10560,8083,5.56,1,53 min.,
Ultraman USA,"Action,Adventure,Sci-Fi",10570,11113,5.56,1,1 hr. 20 min.,
Oosouji,,10558,11760,5.56,1,4 min.,
Pikotarou no Lullaby Lullaby (TV),,10559,7209,5.56,9,3 min. per ep.,Summer 2017
School Days,"Drama,Romance",10564,274,5.56,12,25 min. per ep.,Summer 2007
Yousei Ou,,10555,10537,5.57,1,1 hr.,
One Room,,10557,1565,5.56,12,4 min. per ep.,Winter 2017
Mugen no Ryvius: Illusion,,10556,11724,5.56,6,7 min. per ep.,
X Maiden,"Comedy,Slice of Life",10554,11791,5.57,8,11 min. per ep.,
Sequence,"Romance,Sci-Fi",10552,11309,5.57,1,42 min.,
Variable Geo,"Action,Ecchi",10553,7689,5.57,3,27 min. per ep.,
Mikan-Seijin,,10544,13110,5.57,26,22 sec. per ep.,
Love Position: Halley Densetsu,"Fantasy,Sci-Fi",10542,11104,5.57,1,1 hr. 33 min.,
Escape from Tsuki no Uragawa Zoo,"Drama,Fantasy",10540,14163,5.57,1,3 min.,
Space Gundam V,"Action,Comedy",10566,12416,5.56,1,1 hr. 22 min.,
Sword of Phantasia,,10567,14245,5.56,1,1 min.,
Portable Kuukou,,10561,8919,5.56,1,3 min.,
Lupin VIII,"Adventure,Comedy",10543,8423,5.57,1,22 min.,
Saihate no Paladin: Michiyuki,"Action,Adventure,Fantasy",10563,5718,5.56,1,23 min.,
Controller of Controller,"Avant Garde,Comedy",10537,15014,5.57,1,7 min.,
Battle Royal High School,"Action,Horror,Supernatural",10535,6413,5.57,1,59 min.,
Baby Felix,,10534,12925,5.57,65,4 min. per ep.,Fall 2000
Endless Summer,,10539,14676,5.57,1,4 min.,
Love to Live By,,10532,10681,5.58,1,4 min.,
Kirin Monoshiri Yakata,,10531,12899,5.58,1565,5 min. per ep.,Winter 1975
It's Show Time!,,10530,14996,5.58,1,3 min.,
Bouei Honou / Evidence,,10536,10719,5.57,2,4 min. per ep.,
Inuki Kanako Zekkyou Collection: Gakkou ga Kowai!,,10529,10258,5.57,1,40 min.,
15 Sonyeon Uju Pyoryugi,"Action,Sci-Fi",10533,13504,5.57,1,1 hr. 10 min.,
Grandeek,"Adventure,Fantasy",10525,10080,5.58,1,45 min.,
E no Umakatta Tomodachi,,10538,11637,5.57,1,4 min.,
Drifters: Kokuou-sama Goranshin,,10522,7394,5.58,1,8 min.,
Hibi no Awa,,10526,15544,5.58,1,5 min.,
Sayonara Freeway,,10551,12536,5.57,1,2 min.,
DinoZone,"Adventure,Sci-Fi",10521,11220,5.58,5,20 min. per ep.,
Dies Irae: Irasshai Zonnenji,,10520,8766,5.58,18,5 min. per ep.,
In the Sea and near a Girl.,,10528,15039,5.58,1,1 min.,
Backkom Meogeujan Yeohaeng,"Adventure,Comedy",10516,13528,5.58,1,1 hr. 16 min.,
Baku Tech! Bakugan Gachi Special,,10517,11552,5.58,1,6 min.,
Eiga Daisuki Pompo-san,"Comedy,Drama",10523,11250,5.58,1,15 sec.,
Cello Hiki no Gauche,,10518,13602,5.58,1,18 min.,
"Hatena☆Illusion: Koi to Mahou no Illusion de, Muchuu Sasechaimasu! Special","Comedy,Romance,Supernatural,Ecchi",10541,9072,5.57,1,10 min.,
A-Girl,,10514,8793,5.58,1,31 min.,
Change Our Mirai!: Our 7 Lights,,10519,11752,5.58,1,5 min.,
Garo: Guren no Tsuki - Yurugaro,"Comedy,Fantasy",10524,11306,5.58,21,2 min. per ep.,
Wan Wan Chuushingura,"Action,Adventure,Drama,Fantasy",10508,11510,5.58,1,1 hr. 21 min.,
Velvet Underworld: Alternative,,10507,14327,5.58,1,3 min.,
1989,,10511,10705,5.58,1,7 min.,
_Summer,"Drama,Romance",10510,5571,5.58,2,24 min. per ep.,
Ultraman Kids: M7.8 Sei no Yukai na Nakama,,10506,13284,5.58,1,25 min.,
Tang Lang Bu Chan,,10504,13558,5.58,1,5 min.,
Souhaku Shisuferia,,10502,13763,5.58,1,6 min.,
Spice Paradise: Curry Meshi Ver.,,10503,11497,5.58,1,1 min.,
Tanitsu Shikousei Overbloom,,10505,13365,5.58,1,2 min.,
R20: Ginga Kuukou,,10501,10760,5.58,1,3 min.,
7-kakan.,,10512,12151,5.58,1,3 min.,
Yuureisen,,10492,10032,5.59,1,11 min.,
A Brightening Life,,10513,14558,5.58,1,8 min.,
Soul Link Picture Drama,"Romance,Sci-Fi",10488,11455,5.59,3,4 min. per ep.,
Tokyo Babylon: Vision,,10490,10614,5.59,1,5 min.,
Makeruna! Makendou,,10493,10840,5.58,1,26 min.,
Ore ga Suki nano wa Imouto dakedo Imouto ja Nai Specials,"Comedy,Ecchi",10485,4917,5.59,2,13 min. per ep.,
Wishing,,10509,12575,5.58,1,3 min.,
Saint Seiya: Saintia Shou,"Action,Adventure",10487,5042,5.59,10,25 min. per ep.,
Nido to Mezamenu Komori Uta,"Avant Garde,Drama",10431,8884,5.60,1,27 min.,
ARP Backstage Pass,,10515,6677,5.58,10,23 min. per ep.,Winter 2020
Mahou Yuugi 3D,,10482,9905,5.59,1,30 min.,
Ochou Fujin no Gensou,,10484,12135,5.59,1,12 min.,
Super Mario Brothers: Peach-hime Kyuushutsu Daisakusen!,"Adventure,Comedy",10489,7415,5.59,1,1 hr.,
Kanadian Families: Episode Zero,"Comedy,Slice of Life",10479,13125,5.59,1,17 min.,
