Title,Genres,Rank,Popularity,Score,Episodes,Episode length,Release Date
Kara no Kyoukai Movie: Mirai Fukuin,"Drama,Mystery,Supernatural",549,1694,8.02,1,1 hr. 30 min.,
Kuroko no Basket: Saikou no Present Desu,"Action,Sports",450,1851,8.10,1,23 min.,
Shokugeki no Souma,"Gourmet,Ecchi",349,53,8.18,24,25 min. per ep.,Spring 2015
Kaichou wa Maid-sama!,"Comedy,Romance",547,98,8.02,26,24 min. per ep.,Spring 2010
Hololive Alternative,,498,6378,8.05,1,1 min.,
Hachimitsu to Clover,"Comedy,Drama,Romance,Slice of Life",546,801,8.02,24,23 min. per ep.,Spring 2005
Kodomo no Omocha (TV),"Comedy,Drama,Romance",500,2407,8.05,102,22 min. per ep.,Spring 1996
Hyouge Mono,,600,3768,7.97,39,25 min. per ep.,Spring 2011
Golden Boy,"Adventure,Comedy,Ecchi",545,594,8.02,6,28 min. per ep.,
Aria the Origination: Sono Choppiri Himitsu no Basho ni...,"Comedy,Slice of Life",594,4178,7.98,1,24 min.,
Kamisama Hajimemashita OVA,"Comedy,Fantasy,Romance,Supernatural",548,1575,8.02,2,14 min. per ep.,
Durarara!!x2 Ten,"Action,Mystery,Supernatural",595,506,7.98,12,24 min. per ep.,Summer 2015
Azumanga Daioh,"Comedy,Slice of Life",597,650,7.97,26,24 min. per ep.,Spring 2002
Douluo Dalu: Haishen Zhi Guang,"Action,Adventure,Fantasy,Romance",442,7324,8.10,13,21 min. per ep.,
Working!!!,"Comedy,Romance",592,854,7.98,13,23 min. per ep.,Summer 2015
Fate/Grand Carnival,"Comedy,Fantasy,Supernatural",649,2973,7.94,4,15 min. per ep.,
Trigun: Badlands Rumble,"Action,Adventure,Comedy,Drama,Sci-Fi",646,1456,7.94,1,1 hr. 30 min.,
Tamako Love Story,"Comedy,Romance,Slice of Life",645,560,7.94,1,1 hr. 23 min.,
Douluo Dalu: Chongfan Haotian,"Action,Adventure,Fantasy,Romance",648,8295,7.94,13,21 min. per ep.,
Akagami no Shirayuki-hime 2nd Season,"Drama,Fantasy,Romance",593,596,7.98,12,24 min. per ep.,Winter 2016
Haibane Renmei,"Drama,Fantasy,Mystery,Slice of Life",598,793,7.97,13,24 min. per ep.,Fall 2002
Kingdom,,596,1093,7.98,38,25 min. per ep.,Summer 2012
Hokuto no Ken,"Action,Drama,Sci-Fi",599,1526,7.97,109,25 min. per ep.,Fall 1984
Boku no Hero Academia,,647,6,7.94,13,24 min. per ep.,Spring 2016
Ookiku Furikabutte,"Comedy,Sports",697,1814,7.91,25,25 min. per ep.,Spring 2007
Lupin III (2015),"Action,Adventure,Comedy,Mystery",696,2339,7.91,24,25 min. per ep.,Fall 2015
Kono Oto Tomare!,"Drama,Romance",695,819,7.91,13,23 min. per ep.,Spring 2019
Ie Naki Ko Remy,"Adventure,Drama,Slice of Life",693,4345,7.91,23,23 min. per ep.,Fall 1996
Ergo Proxy,"Mystery,Sci-Fi",691,306,7.91,23,25 min. per ep.,Winter 2006
